81	Samford 13	SC	29-6	+10.02	113.6	59	103.6	124	72.7	9	+.110	11	-1.90	225	104.6	257	106.5	199	-5.21	323
87	Yale 13	Ivy	22-9	+9.42	110.7	92	101.3	89	64.6	329	+.001	180	+2.17	127	108.4	105	106.2	178	+5.53	59
99	Charleston 13	CAA	27-7	+7.62	113.7	57	106.1	174	69.9	59	+.050	65	-2.01	228	105.5	214	107.5	254	+0.08	203
104	Vermont 13	AE	28-6	+6.96	107.1	160	100.1	60	63.3	350	+.063	46	-2.55	244	104.4	263	106.9	220	+2.69	119
106	UAB 12	Amer	23-11	+6.39	113.7	58	107.3	200	67.8	154	+.116	10	+4.70	99	109.0	97	104.3	109	+2.12	135
114	Morehead St. 14	OVC	26-9	+5.18	109.1	123	103.9	129	64.2	337	+.043	82	-4.95	307	103.8	287	108.7	325	+7.89	25
121	Akron 14	MAC	24-11	+4.72	106.8	167	102.1	96	66.0	269	+.008	168	-1.04	201	105.9	191	106.9	216	+6.71	41
130	Oakland 14	Horz	24-11	+3.81	109.1	124	105.3	157	66.6	240	+.089	19	-0.13	178	107.7	121	107.8	275	+10.13	14
135	Western Kentucky 15	CUSA	22-11	+3.03	105.5	191	102.5	104	75.2	1	-.051	298	-2.45	242	103.7	289	106.1	176	-2.75	274
137	South Dakota St. 15	Sum	22-13	+2.83	108.9	128	106.0	173	67.9	153	-.013	222	-1.68	218	105.8	195	107.5	256	+3.09	109
144	Colgate 14	Pat	25-9	+2.14	104.6	210	102.5	103	66.3	253	+.057	52	-6.88	340	101.9	330	108.8	330	+6.71	40
161	Longwood 16	BSth	21-13	+0.92	105.7	186	104.8	146	66.9	225	-.047	293	-3.93	282	104.5	259	108.5	309	-6.63	344
163	Long Beach St. 15	BW	21-15	+0.08	107.4	152	107.3	201	71.4	24	+.053	60	+0.25	164	105.4	218	105.2	139	+1.60	151
200	Saint Peter's 15	MAAC	19-14	-2.89	98.4	307	101.3	88	64.0	338	+.041	88	-3.54	275	103.0	301	106.6	203	+0.65	179
219	Montana St. 16	BSky	17-18	-4.32	103.6	225	107.9	212	68.9	96	-.009	208	-3.01	257	105.5	213	108.5	314	+0.31	196
220	Stetson 16	ASun	22-12	-4.33	110.1	102	114.5	343	66.2	257	+.137	7	-3.42	272	105.2	231	108.7	322	+4.83	74
260	Grambling St. 16	SWAC	21-14	-6.97	100.2	282	107.2	198	64.9	316	+.139	5	-5.08	311	101.2	343	106.3	186	+15.33	3
279	Howard 16	MEAC	18-17	-8.54	105.5	192	114.0	336	67.7	158	+.011	157	-6.92	342	100.6	352	107.5	258	+0.14	199
292	Wagner 16	NEC	17-16	-10.10	96.3	330	106.4	178	61.5	361	+.043	83	-7.27	346	100.8	348	108.1	287	-1.13	238
